balance,account_age_days,avg_loan_amount,income,credit_score,credit_amount,application_date,last_contact,income_to_credit_ratio,city,birth_date,years_at_job,client_id,application_id,address,previous_loans,late_payments_3y,employment_type,owns_car,owns_house,default
5811.2,3366,22199,45084.0,642,196253,2024-12-03,2024-12-09,0.229723876832456,Lake Aaron,1989-02-02,38,C-866959,APP-2023-123518,"0095 Tucker Wells Apt. 259
Port Hunter, OK 49832",1,2,Self-employed,1,0,0
5269.39,2959,26478,25394.0,328,35398,2025-05-17,2025-07-27,0.7173851630035595,Robertstad,1948-05-26,28,C-678356,APP-2023-710714,"4579 Evans Ville
Foleyberg, TN 40041",2,4,Permanent,1,1,0
9138.59,2252,5771,48761.0,791,134860,2024-10-06,2024-12-11,0.3615675515349251,Cantrellburgh,1995-05-23,23,C-648356,APP-2023-67736,"0498 John Burgs
Parkstad, ND 18371",0,1,Temporary,1,0,1
5681.05,851,31314,19891.0,511,161428,2025-04-14,2025-05-28,0.1232190202443194,East Nicholasburgh,1959-01-25,34,C-358844,APP-2023-932279,"USS Cruz
FPO AA 98285",3,2,Permanent,1,0,0
4894.09,3437,4387,22011.0,556,14652,2025-05-04,2025-05-22,1.5022522522522523,Ronaldhaven,1954-08-10,7,C-711080,APP-2023-656459,"309 Wood Path
Thomasmouth, MO 90532",1,3,Self-employed,1,0,0
3980.57,893,45584,50645.0,712,132750,2024-09-18,2024-10-02,0.3815065913370998,Benjaminshire,1960-01-15,3,C-178305,APP-2023-698980,"67354 Nelson Turnpike Suite 463
West Brett, NH 09245",4,2,Permanent,0,0,0
7560.02,1124,33101,28816.0,672,144296,2024-08-22,2024-10-20,0.1997006154016743,Lake Holly,1949-09-14,15,C-73139,APP-2023-94518,"345 Linda Rapids
Schwartztown, UT 30345",1,1,Temporary,1,0,0
7214.85,2014,6914,47518.0,444,174387,2024-12-25,2024-12-26,0.272485907779823,Walkerburgh,1996-05-27,3,C-509082,APP-2023-532338,"2427 Franco Burg
Jessicaberg, OH 79923",1,2,Temporary,1,1,0
4558.62,919,14203,38440.0,807,97813,2025-06-18,2025-07-27,0.3929947961927351,Port Ashley,1949-10-12,29,C-35791,APP-2023-576421,"USS Robbins
FPO AE 53755",3,1,Permanent,1,0,0
3387.0,800,17959,19859.0,634,6021,2024-12-24,2025-03-10,3.298289320710845,Yvonneville,2006-05-10,9,C-694172,APP-2023-887948,"8352 Nicholas Station
North Randy, PW 62961",2,6,Permanent,1,1,0
10139.06,3448,3705,40967.0,731,13903,2024-09-23,2024-11-01,2.946630223692728,New Donna,1986-04-15,26,C-224654,APP-2023-315134,"8541 Penny Stream
Rebeccabury, KS 20164",4,4,Permanent,1,0,0
2990.05,3355,33717,22474.0,614,6096,2025-03-09,2025-03-21,3.686679790026247,Lake Michael,1959-08-31,17,C-725059,APP-2023-866944,"88238 Keith Rapid Suite 434
Melissatown, KY 12466",1,3,Temporary,1,0,0
1441.17,1771,22529,47182.0,837,56608,2025-05-01,2025-05-30,0.8334864330130017,Scottberg,1995-04-11,6,C-507376,APP-2023-604800,"77501 Wendy Field Suite 073
East Nicoleton, PA 73768",0,0,Permanent,1,0,0
4752.07,2054,6820,38471.0,369,163045,2025-02-08,2025-03-15,0.2359532644361986,Elizabethtown,1976-07-20,2,C-829098,APP-2023-684803,"655 Bailey Crossing
Browntown, TN 83644",3,2,Permanent,0,0,1
8494.23,291,49867,34259.0,538,153129,2024-09-12,2024-10-01,0.2237264006164737,Myersshire,1978-11-23,7,C-8107,APP-2023-499733,"10528 Collins Points Apt. 782
Patrickmouth, GU 71297",2,4,Self-employed,0,0,0
8812.44,473,28292,17093.0,797,185750,2024-10-13,2024-11-22,0.092021534320323,Melanietown,1948-03-06,37,C-137983,APP-2023-661825,"5379 Dyer Cliff
South Theresa, OH 72430",2,3,Permanent,1,0,0
7102.51,430,8223,45391.0,690,167788,2024-09-20,2024-09-27,0.2705259017331394,Jamesshire,1958-11-20,16,C-961716,APP-2023-304624,"54627 Ashley Rapids
Mariaview, HI 21453",0,2,Permanent,0,1,0
8965.0,3422,21026,25051.0,454,111895,2025-02-26,2025-04-22,0.2238795299164395,East Douglasmouth,1990-08-12,6,C-173081,APP-2023-205292,"49108 Alexander Trail Suite 836
Port Bobby, ME 61025",1,3,Temporary,1,0,1
5155.88,3022,41270,38037.0,514,187985,2024-11-22,2025-02-09,0.2023406122828949,Finleymouth,2003-03-20,38,C-94496,APP-2023-80790,"77993 Barrett Meadows Apt. 608
Lake Douglas, FL 19862",3,0,Temporary,0,1,0
7921.64,490,33859,32402.0,762,13869,2025-05-30,2025-07-15,2.3362895666594565,Christinaport,1953-11-30,5,C-211383,APP-2023-29661,"92032 Long Inlet Suite 612
South Jeffrey, OH 21647",0,1,Permanent,1,0,1
1197.76,2241,19422,13007.0,818,55741,2025-06-17,2025-08-30,0.2333470874221847,New Alexander,2000-08-04,16,C-61815,APP-2023-498053,"79671 Jordan Roads Suite 094
North Melody, GU 97717",2,0,Permanent,1,1,0
3172.86,2378,11291,35142.0,512,108484,2025-02-12,2025-03-13,0.3239371704583164,Melissaburgh,1999-11-23,11,C-613685,APP-2023-542646,"11778 Ryan Mission
North Ashleyfurt, WA 46249",1,2,Permanent,0,1,0
8476.82,1497,29803,23124.0,309,150793,2024-10-16,2024-12-25,0.1533492934022136,West Robertview,1997-09-02,19,C-892425,APP-2023-890578,"USNV Powell
FPO AE 03573",3,3,Self-employed,0,1,0
4909.14,1713,20671,20822.0,516,181491,2024-08-17,2024-11-01,0.1147274520499639,North Valerie,1979-08-18,34,C-969605,APP-2023-129786,"179 Stevens Plains
East Taylorfurt, WY 21478",2,1,Permanent,0,0,0
5349.32,3394,33425,9147.0,373,10327,2024-11-18,2024-11-23,0.8857364190955747,East Randy,1970-09-23,0,C-258377,APP-2023-755204,"47084 Martinez Burgs
Angelaberg, LA 94493",2,1,Permanent,1,0,0
7340.28,3033,18246,24272.0,417,12054,2024-07-27,2024-09-12,2.0136054421768708,East Austinland,1948-06-27,0,C-936949,APP-2023-610650,"PSC 5355, Box 4563
APO AE 86601",4,2,Permanent,1,0,0
3782.32,2044,7546,32726.0,408,94204,2025-01-30,2025-02-06,0.3473950150736699,Lake Melissaside,1985-01-10,6,C-235603,APP-2023-512958,"098 Jerome Extension Suite 221
Davidchester, KY 73765",1,1,Permanent,1,0,0
3513.35,2493,45937,15627.0,546,144407,2025-01-25,2025-04-02,0.1082149757283234,North Marcus,1957-05-27,24,C-946160,APP-2023-723997,"PSC 9572, Box 4741
APO AE 66256",2,3,Self-employed,1,1,1
2243.62,1556,6368,13753.0,744,193393,2025-01-12,2025-02-08,0.0711142595647205,New Anthony,1990-10-22,19,C-752043,APP-2023-460614,"810 Harrison Passage Apt. 923
Jessicachester, MP 57491",4,2,Unemployed,1,0,0
3953.17,3061,47593,41888.0,831,91396,2025-04-11,2025-06-14,0.4583132741038995,South Sandraport,1957-01-06,17,C-622956,APP-2023-272508,"9470 Anderson Spur
Lake Isabellashire, KY 28507",3,0,Temporary,0,1,0
7379.08,1716,3155,16528.0,374,76738,2025-06-08,2025-06-09,0.2153822095962886,East Debbie,1979-09-03,32,C-498007,APP-2023-101845,"Unit 0021 Box 3094
DPO AP 09539",2,2,Permanent,1,0,0
4950.91,670,7607,26491.0,677,178911,2025-03-14,2025-05-31,0.1480680338268748,Port Melissaburgh,1948-11-02,19,C-496870,APP-2023-112939,"01631 Alyssa Mews Apt. 914
New Benjamin, NH 12728",2,2,Permanent,1,0,1
7325.71,499,7118,24924.0,812,121224,2025-05-04,2025-07-07,0.2056028509206098,Lake Emilyton,2002-01-16,37,C-794231,APP-2023-399955,"162 Bell Knoll
South Juanside, KY 09617",3,2,Unemployed,1,0,0
8516.11,3612,37783,34824.0,342,33550,2024-12-11,2025-01-17,1.037973174366617,Port Jessica,1981-02-03,34,C-827525,APP-2023-799898,"USS Hill
FPO AP 07154",1,1,Temporary,1,0,0
5412.06,2535,3690,33060.0,650,113822,2025-02-25,2025-03-19,0.2904535151376711,Melissaberg,1989-06-12,1,C-394907,APP-2023-346560,"PSC 4523, Box 0320
APO AE 90200",0,1,Permanent,1,0,0
4681.47,576,16818,49306.0,631,33544,2024-11-29,2025-01-12,1.469890293346053,West David,2000-11-24,31,C-351544,APP-2023-769363,"532 Baker Corner Suite 363
Johntown, IN 27414",0,1,Temporary,1,0,0
3983.47,535,32973,36244.0,630,182420,2025-04-08,2025-06-26,0.1986843547856594,Nashberg,1950-10-30,17,C-659250,APP-2023-472098,"48710 Charles Lake
South Emilyville, IA 93193",3,0,Permanent,1,1,0
5678.87,1913,7061,33483.0,445,37907,2024-08-13,2024-09-05,0.8832933231329306,Wallstad,1945-02-27,25,C-674482,APP-2023-397285,"330 Melvin Drive
East Sharonview, NV 80432",1,0,Temporary,1,0,0
3631.16,1635,26055,38824.0,322,115902,2024-09-28,2024-10-31,0.3349726493071733,Baileyfurt,1987-07-14,20,C-867937,APP-2023-201579,"0333 Coleman Squares Suite 556
Colleenville, MS 11408",3,0,Permanent,1,0,1
3619.16,361,44868,17672.0,487,5320,2025-04-03,2025-04-18,3.3218045112781955,Grantborough,1984-02-07,22,C-222151,APP-2023-263291,"54360 Zachary Canyon Apt. 102
Port Deborahhaven, GA 37355",0,1,Permanent,1,1,0
2940.09,1075,23877,42130.0,722,131022,2024-08-24,2024-09-21,0.3215490528308223,Amandahaven,1958-07-24,27,C-751738,APP-2023-864376,"214 Flores Turnpike
Whitneytown, OH 92666",1,2,Self-employed,1,1,0
2686.48,403,21737,14882.0,764,16744,2025-03-12,2025-03-28,0.8887959866220736,East Nicoleside,1958-07-27,29,C-265964,APP-2023-959390,"53770 Caitlin Street
Stephaniehaven, MP 62826",2,2,Permanent,0,1,0
1180.65,1106,16466,11095.0,547,106554,2024-11-02,2024-12-01,0.1041256076731047,Nicholasborough,1981-01-02,28,C-181653,APP-2023-704587,"56678 Allen Terrace
Andrewport, KS 37844",1,1,Permanent,1,0,0
8464.03,773,10904,55519.0,847,186728,2025-03-18,2025-04-01,0.2973255216143267,Blairview,1960-06-22,24,C-162400,APP-2023-696655,"50830 Stephen Summit
Andersonland, PR 32866",2,2,Permanent,1,0,0
7615.56,300,49066,3602.0,451,176412,2025-06-24,2025-07-10,0.0204181121465659,Harrisview,1958-03-29,30,C-488919,APP-2023-531962,"2135 Pierce Centers Suite 634
West Russellfurt, IA 44763",4,1,Permanent,0,1,0
2428.33,2753,44621,31600.0,607,157241,2025-02-26,2025-04-21,0.2009653970656508,East Amymouth,1965-12-31,26,C-314752,APP-2023-501815,"27299 Smith Ramp
Allisonstad, PR 42790",4,1,Temporary,0,1,0
3787.05,3438,40619,2329.0,672,95640,2024-09-19,2024-11-06,0.0243517356754496,Port Tinaberg,1999-09-02,12,C-616898,APP-2023-289286,"3214 Watson Ferry
Lake Frankhaven, DE 51895",2,1,Temporary,1,1,1
1960.32,1530,10109,1438.0,810,101170,2025-05-09,2025-07-24,0.0142136997133537,East Andrew,1946-03-24,34,C-165693,APP-2023-345765,"212 Torres Ramp Suite 690
Toddmouth, MT 14755",0,2,Permanent,1,1,0
3912.48,518,22008,28075.0,627,66128,2025-02-06,2025-04-13,0.4245554076941689,Williambury,2001-12-10,9,C-536455,APP-2023-163182,"9446 Crystal Walk Apt. 499
Hernandezchester, NH 58363",0,2,Permanent,1,1,0
3285.83,1534,44720,20442.0,623,13772,2025-05-06,2025-06-15,1.4843160034853329,Mileshaven,1958-08-12,11,C-700354,APP-2023-564559,"80173 Rivers Trail
East Robert, LA 47313",4,2,Permanent,1,1,0
2258.12,933,3249,44802.0,330,29947,2025-07-03,2025-07-27,1.4960430093164592,North Todd,1976-06-28,4,C-162872,APP-2023-495419,"15912 Hill Pine Apt. 770
Petertown, FL 50462",2,0,Permanent,1,1,0
2305.93,1187,24832,25733.0,758,130613,2025-06-30,2025-09-04,0.1970171422446464,West Eric,1961-12-18,15,C-139767,APP-2023-118728,"52901 Perry Shore Apt. 650
West Dianeshire, VI 17740",2,0,Temporary,0,0,0
2670.19,1088,6496,31554.0,684,42351,2025-05-15,2025-07-29,0.7450591485443083,North Justinmouth,1991-04-10,28,C-884550,APP-2023-679831,"72742 Crystal Course Apt. 317
Garrettberg, IA 46128",3,0,Temporary,0,1,0
2633.95,3598,12300,29311.0,328,183497,2024-10-13,2024-11-25,0.1597355815081445,Crystalshire,1979-03-17,15,C-695197,APP-2023-28390,"9965 Jackson Lights
Larryview, MT 68631",0,3,Self-employed,1,0,0
930.73,2455,4420,32924.0,823,71696,2025-02-13,2025-03-04,0.4592166927025217,Millerfort,1951-09-23,29,C-51761,APP-2023-159756,"72643 Matthew Mission Apt. 672
Lake Rebecca, CO 16948",2,1,Self-employed,0,1,0
3225.48,1402,6439,27015.0,455,187730,2024-08-29,2024-09-16,0.1439034783998295,Smithville,2005-03-28,18,C-445077,APP-2023-894051,"USCGC Taylor
FPO AA 38262",0,3,Permanent,0,1,0
1839.23,2115,14930,21727.0,516,79088,2024-11-28,2024-12-15,0.2747193000202306,Ashleeland,2004-02-10,22,C-888060,APP-2023-589414,"PSC 2248, Box 2015
APO AA 30425",1,1,Permanent,1,1,0
8094.79,1442,25826,52317.0,527,21992,2024-09-27,2024-10-14,2.378910512913787,Shannonton,1992-05-18,18,C-95047,APP-2023-332831,"87087 Long Circles Suite 762
Washingtonberg, MP 56570",4,1,Permanent,1,0,0
7218.84,756,22690,27007.0,434,54427,2025-04-05,2025-06-20,0.4962059272052474,West Samantha,1961-01-21,19,C-824216,APP-2023-886279,"USS Gray
FPO AP 72040",0,3,Permanent,1,0,1
5674.16,1146,24192,28030.0,618,111309,2024-10-01,2024-10-18,0.2518215058979957,South Roberttown,1981-12-29,2,C-620758,APP-2023-398152,"56757 Joseph Views
Carriemouth, WI 93268",2,2,Permanent,1,1,0
6594.3,1037,24392,17921.0,323,81107,2024-11-17,2025-01-20,0.2209550347072386,West Kerriborough,1975-09-18,27,C-372738,APP-2023-60785,"821 Dawn Fields Suite 240
Williamborough, AZ 46208",5,3,Permanent,1,0,0
1213.22,1052,27913,29217.0,508,126429,2024-12-18,2025-02-24,0.2310941318842987,Bretttown,2003-01-02,38,C-38046,APP-2023-858203,"3187 Melissa Avenue Apt. 441
Cindymouth, WA 37874",2,4,Permanent,1,1,0
4940.4,525,1636,17675.0,379,118802,2024-12-02,2025-01-23,0.1487769566168919,Port Gabriellaview,1995-07-29,4,C-173754,APP-2023-79801,"47106 Mcgee Rest
New Darrellfurt, DE 40993",0,3,Permanent,0,0,0
6041.3,1506,6701,40461.0,360,29485,2024-11-30,2025-01-27,1.3722570798711209,East Stacy,1967-06-16,18,C-204610,APP-2023-481452,"2372 Nancy Motorway Apt. 978
Port Melindaview, MS 87432",2,2,Self-employed,1,0,0
2296.38,922,23659,53575.0,310,43845,2025-05-19,2025-06-16,1.2219181206522978,East Davidland,2004-02-18,32,C-103603,APP-2023-935027,"742 Terry Plaza
Barneschester, MA 84612",3,4,Permanent,0,0,0
5276.78,494,48456,38593.0,842,57786,2024-08-15,2024-08-24,0.6678607275118541,North Cliffordchester,1945-10-03,14,C-553514,APP-2023-81917,"7764 William Plaza Apt. 123
East Deborahmouth, VT 00558",1,0,Permanent,0,1,0
1623.5,702,5610,44606.0,757,30580,2024-11-14,2024-12-01,1.4586657946370176,South Derrickfurt,1954-02-22,10,C-674030,APP-2023-925893,"Unit 5669 Box 4297
DPO AE 11497",1,1,Temporary,1,1,0
2840.43,1854,7368,10752.0,605,194453,2024-09-15,2024-11-03,0.0552935670830483,Nicolechester,1981-09-20,11,C-853339,APP-2023-770700,"9201 Caldwell Park
New Joe, IA 24020",6,3,Temporary,0,0,0
6817.06,1821,26292,61135.0,640,142093,2025-02-26,2025-03-06,0.4302463879290324,East Laura,1986-11-07,19,C-912506,APP-2023-905829,"79723 Rebecca Port Apt. 455
Castroland, DE 05915",2,0,Permanent,0,0,0
7508.83,1983,30514,11345.0,546,8828,2025-02-05,2025-03-05,1.285115541458994,North Ryan,2000-12-20,12,C-303446,APP-2023-507830,"67215 Moreno Extension
Port Lisa, WV 66189",3,1,Self-employed,0,1,0
478.85,2064,32932,38806.0,837,125065,2025-01-02,2025-02-26,0.3102866509415104,Port Melanieberg,1965-01-05,15,C-785995,APP-2023-33078,"Unit 6798 Box 3834
DPO AE 62142",2,1,Permanent,0,1,1
9918.98,2624,18115,45553.0,496,89714,2025-04-03,2025-04-09,0.5077579864904028,South Dianaview,1955-12-14,26,C-338360,APP-2023-300441,"7327 Mason Lodge Apt. 975
Kellychester, GU 66495",0,3,Permanent,1,0,0
7862.48,2661,13928,15118.0,303,89577,2024-12-07,2025-01-04,0.1687710014847561,West Brandon,1979-11-17,15,C-31429,APP-2023-367812,"4831 Jones Road
North Amy, NC 51288",1,1,Unemployed,1,1,0
3544.83,979,21350,1073.0,370,166712,2024-11-22,2024-12-13,0.0064362493401794,Lloydland,1969-07-04,12,C-149262,APP-2023-897470,"9775 Williams Heights
West Joeview, MT 61349",1,0,Temporary,1,1,0
8362.26,2919,40211,1251.0,757,113197,2025-02-21,2025-03-07,0.0110515296341775,South Patricia,1967-06-01,23,C-234926,APP-2023-679613,"992 Grant Forge Apt. 758
New Andrew, OK 35140",0,2,Permanent,0,1,1
3155.1,1444,30864,26909.0,737,49147,2024-07-17,2024-08-02,0.5475207031965329,Sharonshire,1965-12-13,17,C-841094,APP-2023-560264,"USCGC Wyatt
FPO AA 64968",1,1,Permanent,1,0,0
31.16,2685,19571,35992.0,488,13326,2024-11-11,2025-02-05,2.70088548701786,Kristinborough,1987-05-04,14,C-405195,APP-2023-377397,"59366 Ray Springs Suite 968
Stephanieborough, DC 36827",2,1,Permanent,1,1,1
4650.14,193,3459,14002.0,303,30777,2024-10-10,2024-11-16,0.4549501250934139,Briannamouth,2006-01-06,13,C-272857,APP-2023-185522,"9792 Lisa Plain
Bergerborough, MS 19126",3,1,Permanent,0,1,0
6715.45,172,15255,14777.0,797,85996,2025-01-29,2025-04-05,0.1718335736545886,Carlberg,1995-02-12,38,C-122492,APP-2023-473149,"105 Green Alley Apt. 120
Haleyhaven, OR 10109",3,2,Permanent,1,1,0
3136.6,2249,9148,47093.0,831,174806,2024-08-11,2024-09-16,0.2694015079573927,South Susan,1987-09-23,1,C-995751,APP-2023-48441,"7870 Rangel Flats Suite 261
Curtisfurt, RI 85191",1,6,Self-employed,1,1,0
6162.67,3045,48657,6800.0,484,67585,2025-06-03,2025-07-26,0.100614041577273,Danielfort,1955-06-07,1,C-640940,APP-2023-411894,"096 Robert Landing
Mariaport, VT 21604",5,2,Unemployed,1,1,0
5508.07,1495,11947,26996.0,455,150978,2024-10-11,2024-11-18,0.1788075083787041,East Vincentfurt,1980-09-04,26,C-143904,APP-2023-4956,"21056 Garcia Manor
West Geraldfort, MS 28647",0,2,Self-employed,1,1,1
6647.86,2502,25899,35284.0,680,65368,2025-05-25,2025-06-01,0.5397748133643373,Millerburgh,1985-06-26,13,C-20179,APP-2023-537997,"3458 Henderson Square
Lake James, NE 18792",0,1,Permanent,1,0,0
8600.33,3544,22777,34302.0,402,116737,2025-04-19,2025-05-19,0.2938399993146988,Cathyside,1947-03-24,8,C-773519,APP-2023-891465,"882 Lee Park
Abigailchester, AZ 02551",3,2,Temporary,0,1,1
279.05,3160,47748,44174.0,546,124132,2025-01-04,2025-03-30,0.3558631134598653,North Josephborough,2003-11-03,14,C-469843,APP-2023-839413,"3786 Harris Gateway Apt. 667
Davismouth, PR 34308",2,2,Permanent,1,1,0
6897.51,2333,29676,30881.0,569,18075,2024-11-26,2024-12-14,1.7084923928077456,Port Charles,1995-04-10,12,C-586292,APP-2023-268906,"42969 Watson Row
Prestonchester, AK 94677",3,2,Self-employed,1,0,0
10022.98,1607,33367,46212.0,691,31275,2024-10-25,2025-01-18,1.4776019184652278,Littleland,1961-11-21,34,C-783180,APP-2023-597375,"975 Gill Viaduct Suite 311
Youngtown, CO 02556",2,1,Unemployed,1,0,1
6108.65,1727,41402,25978.0,629,61520,2024-11-06,2024-12-03,0.4222691807542262,New Abigail,2007-03-15,20,C-817706,APP-2023-746577,"76181 Annette Forest Apt. 607
Zacharyside, VA 94697",2,1,Permanent,0,0,0
2699.23,1079,20344,43846.0,404,32847,2025-01-16,2025-02-08,1.3348555423630772,Smithtown,2006-03-22,17,C-741170,APP-2023-15781,"9342 Smith Islands
West Wendy, ND 14489",3,4,Permanent,0,0,0
2632.56,1551,3337,53284.0,429,125879,2024-07-24,2024-08-07,0.4232953868397429,South Jessica,1971-08-03,13,C-289901,APP-2023-628219,"00104 Matthew Throughway Apt. 208
East Christine, ME 74083",1,2,Self-employed,0,0,0
1749.98,511,21584,28402.0,340,169642,2024-11-08,2024-12-08,0.1674231617170276,Harrisonfurt,1971-07-18,3,C-23021,APP-2023-680224,"4096 Peter Trail Apt. 439
Brownburgh, OR 45190",0,1,Permanent,0,1,0
5032.63,2404,26716,34884.0,301,99688,2024-09-17,2024-09-26,0.3499317871759891,Dunnberg,2007-01-07,13,C-353800,APP-2023-145895,"463 Jeffrey Island
New Karen, MA 62772",2,1,Self-employed,1,0,0
4662.13,2558,30454,26160.0,826,107424,2024-12-01,2025-02-05,0.243521000893655,North Maryland,1951-11-07,3,C-108813,APP-2023-860438,"328 Brady Fort Suite 237
South Annahaven, MD 43979",3,1,Permanent,1,0,0
2949.14,1076,11987,21801.0,311,108547,2025-06-05,2025-08-04,0.2008438740821948,East Kristinmouth,1959-09-09,30,C-224251,APP-2023-621964,"8995 Travis Shores
Tammyland, PR 38755",0,1,Permanent,1,1,0
7826.59,2915,29163,45840.0,713,130896,2025-03-15,2025-03-21,0.3502016868353502,Danielberg,1992-10-06,36,C-754374,APP-2023-249619,"9263 Timothy Forest
North Tinaville, CO 59439",5,1,Permanent,1,1,0
467.44,1608,37448,59160.0,334,14317,2025-02-16,2025-03-26,4.132150590207446,Lake Ryantown,1985-01-05,26,C-479745,APP-2023-484552,"012 Kimberly Harbor
Karenshire, MD 12962",3,4,Permanent,0,0,1
1203.37,3222,45760,12198.0,484,46489,2024-10-04,2024-11-09,0.2623846501322893,South Dustinland,1973-05-03,29,C-577979,APP-2023-366920,"Unit 1530 Box 8823
DPO AP 54934",5,4,Permanent,1,0,1
6168.1,2605,7060,50565.0,404,7770,2024-11-23,2024-12-02,6.507722007722008,Colemouth,1949-10-05,1,C-733792,APP-2023-315213,"95455 Heather Trail Suite 041
New Travisfurt, MO 79816",0,4,Permanent,1,0,1
5743.06,2917,44874,21426.0,646,9237,2025-04-26,2025-07-11,2.319584280610588,Douglasborough,1951-02-03,23,C-262654,APP-2023-630930,"8497 Felicia Trace Suite 554
North Dennisside, MO 85536",4,0,Permanent,1,0,0
10971.43,2769,36882,29671.0,640,192471,2024-07-23,2024-09-17,0.154158288781167,Reidton,1984-12-02,25,C-688456,APP-2023-690661,"3167 Mitchell Cove
New Michaelbury, PA 32518",2,3,Permanent,1,1,0
4388.21,872,17884,85211.0,832,51704,2024-12-16,2025-01-15,1.6480543091443602,Melissaton,1970-03-18,0,C-928030,APP-2023-91310,"61743 Hansen Fords Suite 542
Timothybury, RI 17479",2,2,Temporary,1,1,0
221.12,845,14850,59574.0,547,47429,2025-02-23,2025-03-05,1.256066963250332,East Elizabethport,1971-10-20,9,C-559869,APP-2023-428409,"32730 Hayden Row
South Bryan, KY 88860",1,1,Self-employed,1,1,0
3452.69,2124,9694,16812.0,663,44227,2025-04-16,2025-06-29,0.3801297849729803,West Nicole,1985-03-06,14,C-79346,APP-2023-841046,"111 Snyder Ports Apt. 516
Ryanton, HI 96442",1,3,Temporary,1,0,0
5979.03,1366,18037,60749.0,385,173231,2024-09-05,2024-10-27,0.3506820372797016,Levineberg,2001-07-23,32,C-546935,APP-2023-522013,"Unit 3386 Box 9072
DPO AP 68533",4,1,Permanent,0,1,0
5826.53,1888,36568,27292.0,369,18296,2024-09-23,2024-10-30,1.4916921731526016,East Amber,1985-11-17,12,C-683052,APP-2023-514454,"74986 Anderson Freeway
Adriennebury, FM 83557",1,1,Permanent,1,0,1
6069.05,2239,47605,29678.0,351,95280,2024-12-22,2025-02-19,0.3114819479429051,Tracyside,1999-08-28,20,C-872923,APP-2023-142344,"62827 Jasmine Road
Martinezstad, NM 18018",2,1,Permanent,1,1,0
178.48,2432,14590,29336.0,577,45498,2024-10-24,2024-10-26,0.6447755945316278,Huntershire,1984-07-09,24,C-56103,APP-2023-282618,"646 Juarez Way
Port Rubenmouth, SC 59451",3,0,Permanent,1,0,1
3047.63,549,28475,32778.0,557,109669,2025-04-27,2025-05-24,0.2988811788199035,North Robert,1994-09-25,34,C-103588,APP-2023-795389,"91148 Cameron Fort
Richardside, MD 79504",1,0,Unemployed,1,0,0
4165.65,949,18400,25037.0,763,59474,2025-05-02,2025-05-15,0.4209738709351985,Clarkton,1999-06-05,27,C-994539,APP-2023-780674,"30961 Miller Pine Apt. 148
Knappstad, MT 97073",4,0,Self-employed,0,0,1
6930.49,787,1017,32570.0,578,172816,2025-02-18,2025-03-16,0.1884663457087306,Campbellport,1998-07-31,16,C-73481,APP-2023-440182,"61614 Cruz Center
Port Ashleyborough, PW 49879",2,3,Temporary,0,0,1
2175.22,203,43428,36639.0,587,136859,2025-03-17,2025-03-19,0.2677134861426724,South Michelleside,1999-06-23,35,C-57403,APP-2023-989338,"Unit 4908 Box 7541
DPO AP 32436",0,0,Permanent,0,0,0
3207.64,585,16156,31027.0,468,97270,2024-11-07,2024-12-05,0.318978102189781,Watsonside,1972-08-11,29,C-43323,APP-2023-878498,"07928 Jones Divide Suite 232
North Shannonmouth, NV 32312",2,0,Permanent,0,0,0
8809.32,3142,34737,28431.0,432,75026,2025-03-08,2025-03-17,0.3789486311412043,Murphymouth,1947-07-20,35,C-258526,APP-2023-593383,"0244 Craig Canyon Suite 294
East Melody, DC 90123",1,2,Permanent,1,1,0
6627.45,1043,36887,10050.0,593,167262,2025-07-02,2025-07-22,0.0600853750403558,Lake Tiffany,1975-07-11,20,C-826983,APP-2023-432742,"34150 John Fords Suite 262
Port Anna, NE 96832",5,0,Permanent,1,1,0
11798.52,2452,9839,30835.0,831,156916,2024-08-06,2024-09-19,0.1965064110734405,Longshire,1956-10-19,2,C-542759,APP-2023-223650,"360 Rodney Haven
West Wesley, NJ 37129",4,0,Permanent,0,1,0
4626.56,1997,1932,44167.0,469,30967,2025-04-10,2025-06-25,1.4262602124842574,Port Angela,1981-08-06,0,C-550728,APP-2023-948455,"8597 Carrillo Isle
Perrychester, SD 32545",1,2,Temporary,1,0,0
3848.24,293,18869,24929.0,331,54164,2025-04-25,2025-06-13,0.4602503507865003,Fitzpatrickbury,1998-11-14,8,C-787428,APP-2023-322545,"556 Cynthia Forges Apt. 141
Brianville, MN 47785",4,1,Self-employed,1,0,0
2751.77,84,14098,17503.0,633,49576,2024-10-12,2024-11-23,0.3530538970469582,East Dustin,1989-05-14,36,C-732021,APP-2023-229284,"736 George Flats Suite 703
Gonzalezmouth, ME 74088",2,2,Permanent,1,0,0
6157.6,2060,16571,31564.0,700,86122,2025-06-17,2025-07-08,0.3665033324818281,South Kathleen,1973-11-11,34,C-282462,APP-2023-332042,"925 Moore Flats Apt. 618
Lake Cherylhaven, AL 95449",1,1,Permanent,1,0,0
7656.74,3138,45659,12487.0,715,41810,2025-01-18,2025-04-15,0.298660607510165,Harveymouth,2006-03-04,5,C-34273,APP-2023-556095,"9827 Mark Rapid
Butlermouth, MO 86347",2,2,Permanent,1,1,0
2751.59,2823,3187,50664.0,576,158339,2024-10-15,2025-01-10,0.3199717062757753,North Thomas,1969-06-27,34,C-464962,APP-2023-154893,"19593 Vance Lake Suite 067
East Bradleyville, SC 68157",4,3,Permanent,1,0,0
